가구 소매,G21101
가전·통신 소매,G20803
가전·통신 소매,G20802
가전·통신 소매,G20801
가전제품 수리,S20501
가정용품 대여,N11001
가정용품 대여,N11099
가정용품 대여,N11002
가정용품 대여,N11003
가정용품 대여,N11004
고용 알선,N10401
고용 알선,N10402
고용 알선,N10403
광고,M10599
광고,M10501
광고,M10504
광고,M10502
광고,M10503
교육 지원,P10701
교육 지원,P10799
구내식당·뷔페,I20701
구내식당·뷔페,I20702
기술 서비스,M10999
기술 서비스,M10901
기술 서비스,M10903
기술 서비스,M10902
기술 서비스,M10904
기타 가정용품 수리,S20699
기타 가정용품 수리,S20601
기타 가정용품 수리,S20602
기타 가정용품 수리,S20603
기타 간이,I21007
기타 간이,I21001
기타 간이,I21002
기타 간이,I21008
기타 간이,I21099
기타 간이,I21006
기타 간이,I21005
기타 간이,I21003
기타 간이,I21004
기타 개인,S21105
기타 개인,S21101
기타 교육,P10601
기타 교육,P10629
기타 교육,P10615
기타 교육,P10625
기타 교육,P10607
기타 교육,P10621
기타 교육,P10609
기타 교육,P10611
기타 교육,P10603
기타 교육,P10627
기타 교육,P10613
기타 교육,P10605
기타 교육,P10617
기타 교육,P10619
기타 교육,P10623
기타 보건,Q10402
기타 사업 서비스,N10802
기타 사업 서비스,N10805
기타 상품 소매,G22199
기타 생활용품 소매,G21201
기타 생활용품 소매,G21202
기타 생활용품 소매,G21203
기타 숙박,I10299
기타 숙박,I10201
기타 전문 과학,M11504
기타 전문 과학,M11502
담배 소매,G20701
도서관·사적지,R10202
동남아시아,I20501
동남아시아,I20599
모터사이클 소매,G20301
모터사이클 수리,S20401
법무관련 ,M10301
법무관련 ,M10302
법무관련 ,M10303
법무관련 ,M10306
법무관련 ,M10307
법무관련 ,M10399
병원,Q10101
병원,Q10102
병원,Q10103
병원,Q10104
병원,Q10105
본사·경영 컨설팅,M10703
부동산 서비스,L10203
비알코올 ,I21201
사무 지원,N10799
사무 지원,N10703
사진 촬영,M11301
산업용품 대여,N11199
산업용품 대여,N11101
산업용품 대여,N11102
서양식,I20401
서양식,I20402
서양식,I20499
서양식,I20403
섬유·의복·신발 소매,G20907
섬유·의복·신발 소매,G20905
섬유·의복·신발 소매,G20901
섬유·의복·신발 소매,G20902
섬유·의복·신발 소매,G20904
섬유·의복·신발 소매,G20903
섬유·의복·신발 소매,G20906
섬유·의복·신발 소매,G20911
섬유·의복·신발 소매,G20908
섬유·의복·신발 소매,G20909
섬유·의복·신발 소매,G20910
세탁,S20902
세탁,S20901
수의,M11101
스포츠 서비스,R10312
스포츠 서비스,R10313
스포츠 서비스,R10311
스포츠 서비스,R10310
스포츠 서비스,R10314
스포츠 서비스,R10307
스포츠 서비스,R10308
스포츠 서비스,R10306
스포츠 서비스,R10309
스포츠 서비스,R10316
시계·귀금속 소매,G21701
시설관리,N10101
시장 조사,M10601
식료품 소매,G20508
식료품 소매,G20509
식료품 소매,G20507
식료품 소매,G20501
식료품 소매,G20502
식료품 소매,G20506
식료품 소매,G20504
식료품 소매,G20503
식료품 소매,G20505
식물 소매,G21901
안경·정밀기기 소매,G21602
안경·정밀기기 소매,G21601
안경·정밀기기 소매,G21603
애완동물·용품 소매,G22001
여행사·보조,N10501
여행사·보조,N10599
연료 소매,G21402
연료 소매,G21401
연료 소매,G21403
오락용품 소매,G21304
오락용품 소매,G21302
오락용품 소매,G21306
오락용품 소매,G21301
오락용품 소매,G21303
오락용품 소매,G21305
욕탕·신체관리,S20802
욕탕·신체관리,S20801
욕탕·신체관리,S20803
운송장비 대여,N10901
운송장비 대여,N10999
유원지·오락,R10406
유원지·오락,R10499
유원지·오락,R10405
유원지·오락,R10407
유원지·오락,R10410
유원지·오락,R10404
유원지·오락,R10408
유원지·오락,R10409
유원지·오락,R10414
음료 소매,G20603
음료 소매,G20601
음료 소매,G20602
음료 소매,G20604
의약·화장품 소매,G21503
의약·화장품 소매,G21501
의약·화장품 소매,G21502
의원,Q10209
의원,Q10201
의원,Q10204
의원,Q10202
의원,Q10205
의원,Q10207
의원,Q10208
의원,Q10203
의원,Q10206
의원,Q10210
의원,Q10211
의원,Q10212
이용·미용,S20701
이용·미용,S20702
이용·미용,S20703
인쇄·제품제작,M11401
일반 교육,P10501
일반 숙박,I10104
일반 숙박,I10102
일반 숙박,I10103
일반 숙박,I10101
일식,I20303
일식,I20301
일식,I20302
일식,I20399
자동차 부품 소매,G20202
자동차 부품 소매,G20201
자동차 수리·세차,S20301
자동차 수리·세차,S20302
장례식장 ,S21001
장례식장 ,S21002
장식품 소매,G21802
장식품 소매,G21801
전문 디자인,M11201
전문 디자인,M11203
전문 디자인,M11202
전문 디자인,M11204
조경·유지,N10301
종합 소매,G20404
종합 소매,G20405
종합 소매,G20499
주점,I21103
주점,I21104
주점,I21101
주점,I21102
중고 상품 소매,G22201
중식,I20201
중식,I20202
철물·건설자재 소매,G21001
철물·건설자재 소매,G21002
철물·건설자재 소매,G21003
철물·건설자재 소매,G21099
청소·방제,N10201
청소·방제,N10202
청소·방제,N10203
컴퓨터 수리,S20101
통신장비 수리,S20201
한식,I20104
한식,I20112
한식,I20105
한식,I20113
한식,I20108
한식,I20110
한식,I20101
한식,I20111
한식,I20107
한식,I20106
한식,I20102
한식,I20103
한식,I20109
한식,I20199
회계·세무,M10401
회계·세무,M10402
회계·세무,M10499
