I21201,카페
I20104,전/부침개
I20303,일식 면 요리
I20112,해산물 구이/찜
I20501,베트남식 전문
I20105,국수/칼국수
R10312,테니스장
I20113,복 요리 전문
I20108,소고기 구이/찜
I20110,닭/오리고기 구이/찜
I21103,생맥주 전문
P10601,태권도/무술학원
I21007,김밥/만두/분식
R10313,탁구장
I21001,빵/도넛
I20701,구내식당
I20101,백반/한정식
I20111,횟집
I20301,일식 회/초밥
G20508,건강보조식품 소매업
I20107,돼지고기 구이/찜
I20201,중국집
I20106,냉면/밀면
G20509,반찬/식료품 소매업
I21002,떡/한과
P10629,그 외 기타 교육기관
I20102,국/탕/찌개류
M11401,명함/간판/광고물 제작
G20202,자동차 부품 소매업
M11201,인테리어 디자인업
R10202,독서실/스터디 카페
N10901,자동차 대여업
G20201,타이어 소매업
S20301,자동차 정비소
N11199,기타 산업용 기계/장비 대여업
S20401,모터사이클 수리업
G21402,가스 충전소
M10999,기타 엔지니어링 서비스업
G21201,전기용품/조명장치 소매업
G20301,모터사이클 및 부품 소매업
G20907,액세서리/잡화 소매업
G20803,가전제품 소매업
S20302,자동차 세차장
G20802,핸드폰 소매업
G22199,그 외 기타 상품 전문 소매업
M10703,경영 컨설팅업
S20501,가전제품 수리업
G21001,철물/공구 소매업
G21202,주방/가정용품 소매업
G20404,슈퍼마켓
N10802,전시/컨벤션/행사 대행 서비스업
N11001,스포츠/레크리에이션 용품 대여업
G20405,편의점
G21503,화장품 소매업
G21901,꽃집
P10615,외국어학원
G21602,안경렌즈 소매업
G22001,애완동물/애완용품 소매업
I10104,캠핑/글램핑
G20507,아이스크림 할인점
G20499,그 외 기타 종합 소매업
G20501,곡물/곡분 소매업
G20502,가축 사료 소매업
G21304,운동용품 소매업
I20401,경양식
G20506,채소/과일 소매업
G20701,담배/전자담배 소매업
G20504,건어물/젓갈 소매업
G20503,정육점
G20505,수산물 소매업
I21008,아이스크림/빙수
G21302,문구/회화용품 소매업
I21099,그 외 기타 간이 음식점
I21006,치킨
I21005,토스트/샌드위치/샐러드
G20603,생수/음료 소매업
G21802,기념품점
R10406,PC방
G20601,얼음 소매업
G20602,주류 소매업
G20604,우유 소매업
G20905,기타 의류 소매업
I10102,여관/모텔
I10103,펜션
G20801,컴퓨터/소프트웨어 소매업
G20901,남성 의류 소매업
G20902,여성 의류 소매업
G20904,한복 소매업
G20903,유아용 의류 소매업
G20906,침구류/커튼 소매업
G20911,가방 소매업
G20908,가발 소매업
G21101,가구 소매업
G21701,시계/귀금속 소매업
P10501,입시·교과학원
P10625,기타 기술/직업 훈련학원
G21801,예술품 소매업
S20701,미용실
G21306,장난감 소매업
G22201,중고 상품 소매업
